mutation,label,overall,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_12,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_16,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_19,passing,0.082927,0.297468,0.103448,0.028571,0.211268,0.071429,0.047619,0.000000,,0.135417,0.058824,0.000000,0.101911,0.082840,0.111111,,,0.000000,,0.000000,,0.076923,,,,,
mutation_2,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_20,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_23,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_25,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_28,passing,0.156559,0.212121,0.238806,0.019608,0.426667,0.142857,0.050000,0.039216,,0.239583,0.119048,0.000000,0.121547,0.116402,0.150000,,,0.391304,,0.130435,,0.107345,,,,,
mutation_3,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_32,passing,0.082927,0.297468,0.103448,0.028571,0.211268,0.071429,0.047619,0.000000,,0.135417,0.058824,0.000000,0.101911,0.082840,0.111111,,,0.000000,,0.000000,,0.076923,,,,,
mutation_36,passing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_37,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_38,passing,0.150972,0.327778,0.248120,0.106383,0.250000,0.050000,0.296875,0.037037,,0.221239,0.049505,0.142857,0.135678,0.122642,0.217391,,,0.103448,,0.000000,,0.106599,,,,,
mutation_39,passing,0.251206,0.454545,0.537037,0.155556,0.465753,0.157895,0.292308,0.241379,,0.252252,0.164835,0.000000,0.164103,0.157635,0.200000,,,0.391304,,0.238095,,0.146597,,,,,
mutation_4,passing,0.081416,0.273292,0.103448,0.028571,0.211268,0.071429,0.047619,0.000000,,0.135417,0.058824,0.000000,0.101911,0.082840,0.111111,,,0.000000,,0.000000,,0.076923,,,,,
mutation_40,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_42,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_44,passing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_47,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_5,passing,0.045085,0.093750,0.038462,0.000000,0.193548,0.000000,0.000000,0.000000,,0.118421,0.067568,0.000000,0.056338,0.046980,0.062500,,,0.000000,,0.000000,,0.043796,,,,,
mutation_50,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_8,passing,0.251206,0.454545,0.537037,0.155556,0.465753,0.157895,0.292308,0.241379,,0.252252,0.164835,0.000000,0.164103,0.157635,0.200000,,,0.391304,,0.238095,,0.146597,,,,,
mutation_10,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_11,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_14,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_17,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_18,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_21,failing,0.251390,0.090909,0.286822,0.000000,0.606061,0.100000,0.272727,0.076923,,0.642857,0.358974,0.000000,0.066038,0.062500,0.000000,,,1.000000,,0.368421,,0.090000,,,,,
mutation_22,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_24,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_26,failing,0.251390,0.090909,0.286822,0.000000,0.606061,0.100000,0.272727,0.076923,,0.642857,0.358974,0.000000,0.066038,0.062500,0.000000,,,1.000000,,0.368421,,0.090000,,,,,
mutation_27,failing,0.251390,0.090909,0.286822,0.000000,0.606061,0.100000,0.272727,0.076923,,0.642857,0.358974,0.000000,0.066038,0.062500,0.000000,,,1.000000,,0.368421,,0.090000,,,,,
mutation_29,failing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
mutation_30,failing,0.675208,0.538462,0.643564,0.181818,0.606061,0.692308,0.866667,0.750000,,0.971429,0.859649,0.777778,0.625899,0.652778,0.750000,,,0.828571,,0.368421,,0.689922,,,,,
mutation_31,failing,0.675208,0.538462,0.643564,0.181818,0.606061,0.692308,0.866667,0.750000,,0.971429,0.859649,0.777778,0.625899,0.652778,0.750000,,,0.828571,,0.368421,,0.689922,,,,,
mutation_33,failing,0.675208,0.538462,0.643564,0.181818,0.606061,0.692308,0.866667,0.750000,,0.971429,0.859649,0.777778,0.625899,0.652778,0.750000,,,0.828571,,0.368421,,0.689922,,,,,
mutation_41,failing,0.675208,0.538462,0.643564,0.181818,0.606061,0.692308,0.866667,0.750000,,0.971429,0.859649,0.777778,0.625899,0.652778,0.750000,,,0.828571,,0.368421,,0.689922,,,,,
mutation_43,failing,0.551803,0.395349,0.431034,0.040000,0.606061,0.466667,0.527273,0.217391,,0.943662,0.859649,0.777778,0.537415,0.545455,0.555556,,,1.000000,,0.368421,,0.557143,,,,,
mutation_46,failing,0.251390,0.090909,0.286822,0.000000,0.606061,0.100000,0.272727,0.076923,,0.642857,0.358974,0.000000,0.066038,0.062500,0.000000,,,1.000000,,0.368421,,0.090000,,,,,
mutation_48,failing,0.083682,0.181373,0.121622,0.019608,0.202247,0.047619,0.050000,0.037037,,0.129032,0.049505,0.000000,0.101942,0.091324,0.120000,,,0.103448,,0.000000,,0.084158,,,,,
mutation_6,failing,0.076591,0.142180,0.114094,0.019608,0.202247,0.047619,0.050000,0.037037,,0.129032,0.049505,0.000000,0.075829,0.071749,0.120000,,,0.103448,,0.000000,,0.063107,,,,,
mutation_7,failing,0.675208,0.538462,0.643564,0.181818,0.606061,0.692308,0.866667,0.750000,,0.971429,0.859649,0.777778,0.625899,0.652778,0.750000,,,0.828571,,0.368421,,0.689922,,,,,
